x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-25 16:00:00,36,16,1,13.4375,12.780029994748315,38.99755998949663,-12.12255998949663,Normal
2025-03-25 17:00:00,33,17,1,9.125,11.615363389350618,32.35572677870124,-14.105726778701236,Above Normal
2025-03-25 18:00:00,71,18,1,19.1875,20.471830238973098,60.131160477946196,-21.756160477946196,Above Normal
2025-03-25 19:00:00,26,19,1,14.5625,18.9489445616372,52.4603891232744,-23.335389123274403,Normal
2025-03-25 20:00:00,21,20,1,4.764705882352941,7.344465703547688,19.453637289448316,-9.924225524742436,Above Normal
2025-03-25 21:00:00,0,21,1,0.11764705882352941,0.3321055820775357,0.7818582229786009,-0.546564105331542,Normal
2025-03-25 22:00:00,0,22,1,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-25 23:00:00,0,23,1,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-26 00:00:00,0,0,2,0.0,0.0,0.0,0.0,Normal
2025-03-26 01:00:00,0,1,2,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-26 02:00:00,0,2,2,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-26 03:00:00,0,3,2,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-26 04:00:00,0,4,2,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-26 05:00:00,0,5,2,0.13333333333333333,0.35186577527449836,0.83706488388233,-0.5703982172156634,Normal
2025-03-26 06:00:00,19,6,2,17.0,15.786069808536892,48.57213961707379,-14.572139617073784,Normal
2025-03-26 07:00:00,21,7,2,10.333333333333334,11.805971047777154,33.94527542888764,-13.278608762220975,Normal
2025-03-26 08:00:00,43,8,2,17.6875,17.734030374771926,53.15556074954385,-17.780560749543852,Normal
2025-03-26 09:00:00,72,9,2,31.5625,22.733143938605,77.02878787721,-13.90378787721,Normal
2025-03-26 10:00:00,90,10,2,60.4375,78.62397323123952,217.68544646247904,-96.81044646247904,Normal
2025-03-26 11:00:00,149,11,2,86.3529411764706,60.79981617619271,207.95257352885602,-35.24669117591482,Normal
2025-03-26 12:00:00,57,12,2,27.0625,27.586152927389733,82.23480585477947,-28.109805854779466,Normal
2025-03-26 13:00:00,53,13,2,43.529411764705884,34.7061191417645,112.94165004823489,-25.882826518823123,Normal
2025-03-26 14:00:00,38,14,2,31.529411764705884,25.698048678496058,82.925509121698,-19.86668559228623,Normal
2025-03-26 15:00:00,36,15,2,25.875,38.14861290619446,102.17222581238892,-50.422225812388916,Normal
2025-03-26 16:00:00,13,16,2,13.4375,12.780029994748315,38.99755998949663,-12.12255998949663,Normal
2025-03-26 17:00:00,11,17,2,9.125,11.615363389350618,32.35572677870124,-14.105726778701236,Normal
2025-03-26 18:00:00,10,18,2,19.1875,20.471830238973098,60.131160477946196,-21.756160477946196,Normal
2025-03-26 19:00:00,1,19,2,14.5625,18.9489445616372,52.4603891232744,-23.335389123274403,Normal
2025-03-26 20:00:00,11,20,2,4.764705882352941,7.344465703547688,19.453637289448316,-9.924225524742436,Normal
2025-03-26 21:00:00,1,21,2,0.11764705882352941,0.3321055820775357,0.7818582229786009,-0.546564105331542,Above Normal
2025-03-26 22:00:00,1,22,2,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Above Normal
2025-03-26 23:00:00,1,23,2,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Above Normal
2025-03-27 00:00:00,0,0,3,0.0,0.0,0.0,0.0,Normal
2025-03-27 01:00:00,1,1,3,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Above Normal
2025-03-27 02:00:00,1,2,3,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Above Normal
2025-03-27 03:00:00,1,3,3,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Above Normal
2025-03-27 04:00:00,1,4,3,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Above Normal
2025-03-27 05:00:00,1,5,3,0.13333333333333333,0.35186577527449836,0.83706488388233,-0.5703982172156634,Above Normal
2025-03-27 06:00:00,28,6,3,17.0,15.786069808536892,48.57213961707379,-14.572139617073784,Normal
2025-03-27 07:00:00,12,7,3,10.333333333333334,11.805971047777154,33.94527542888764,-13.278608762220975,Normal
2025-03-27 08:00:00,13,8,3,17.6875,17.734030374771926,53.15556074954385,-17.780560749543852,Normal
2025-03-27 09:00:00,36,9,3,31.5625,22.733143938605,77.02878787721,-13.90378787721,Normal
2025-03-27 10:00:00,54,10,3,60.4375,78.62397323123952,217.68544646247904,-96.81044646247904,Normal
2025-03-27 11:00:00,99,11,3,86.3529411764706,60.79981617619271,207.95257352885602,-35.24669117591482,Normal
2025-03-27 12:00:00,30,12,3,27.0625,27.586152927389733,82.23480585477947,-28.109805854779466,Normal
2025-03-27 13:00:00,93,13,3,43.529411764705884,34.7061191417645,112.94165004823489,-25.882826518823123,Normal
2025-03-27 14:00:00,38,14,3,31.529411764705884,25.698048678496058,82.925509121698,-19.86668559228623,Normal
2025-03-27 15:00:00,27,15,3,25.875,38.14861290619446,102.17222581238892,-50.422225812388916,Normal
2025-03-27 16:00:00,22,16,3,13.4375,12.780029994748315,38.99755998949663,-12.12255998949663,Normal
2025-03-27 17:00:00,5,17,3,9.125,11.615363389350618,32.35572677870124,-14.105726778701236,Normal
2025-03-27 18:00:00,23,18,3,19.1875,20.471830238973098,60.131160477946196,-21.756160477946196,Normal
2025-03-27 19:00:00,1,19,3,14.5625,18.9489445616372,52.4603891232744,-23.335389123274403,Normal
2025-03-27 20:00:00,13,20,3,4.764705882352941,7.344465703547688,19.453637289448316,-9.924225524742436,Normal
2025-03-27 21:00:00,0,21,3,0.11764705882352941,0.3321055820775357,0.7818582229786009,-0.546564105331542,Normal
2025-03-27 22:00:00,0,22,3,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-27 23:00:00,0,23,3,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-28 00:00:00,0,0,4,0.0,0.0,0.0,0.0,Normal
