x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-25 05:00:00,607,5,1,313.75,169.95509210768984,653.6601842153797,-26.160184215379672,Normal
2025-03-25 06:00:00,625,6,1,624.75,1146.6388271814276,2918.027654362855,-1668.5276543628552,Normal
2025-03-25 07:00:00,934,7,1,489.1875,260.31678617919874,1009.8210723583975,-31.446072358397487,Normal
2025-03-25 08:00:00,1562,8,1,1035.0588235294117,642.0546579719903,2319.1681394733923,-249.0504924145689,Normal
2025-03-25 09:00:00,2242,9,1,1561.9411764705883,1061.7756631339453,3685.492502738479,-561.6101497973023,Normal
2025-03-25 10:00:00,2994,10,1,2053.0,1337.43495168924,4727.86990337848,-621.8699033784801,Normal
2025-03-25 11:00:00,3012,11,1,2176.4117647058824,1387.9760921402576,4952.363948986398,-599.5404195746328,Normal
2025-03-25 12:00:00,3439,12,1,2155.0588235294117,1477.3000486778337,5109.658920885079,-799.5412738262557,Normal
2025-03-25 13:00:00,4000,13,1,2473.9411764705883,1665.2426050949841,5804.426386660556,-856.54403371938,Normal
2025-03-25 14:00:00,3191,14,1,2083.1176470588234,1403.138173985056,4889.393995028935,-723.1587009112886,Normal
2025-03-25 15:00:00,2911,15,1,1715.3529411764705,1072.2970636195264,3859.947068415523,-429.2411860625823,Normal
2025-03-25 16:00:00,2700,16,1,1638.7058823529412,1078.303515058833,3795.3129124706074,-517.9011477647248,Normal
2025-03-25 17:00:00,2282,17,1,1334.0588235294117,905.9939618030185,3146.0467471354486,-477.9291000766252,Normal
2025-03-25 18:00:00,1222,18,1,1013.0,705.741365515725,2424.48273103145,-398.48273103144993,Normal
2025-03-25 19:00:00,1420,19,1,923.8235294117648,630.7042923682735,2185.2321141483117,-337.5850553247823,Normal
2025-03-25 20:00:00,529,20,1,577.75,350.160820195521,1278.071640391042,-122.57164039104202,Normal
2025-03-25 21:00:00,411,21,1,361.29411764705884,186.26753766621627,733.8291929794914,-11.2409576853737,Normal
2025-03-25 22:00:00,338,22,1,323.11764705882354,178.93220865489155,680.9820643686066,-34.74677025095957,Normal
2025-03-25 23:00:00,324,23,1,335.8,189.3561270652282,714.5122541304564,-42.912254130456404,Normal
2025-03-26 00:00:00,304,0,2,320.0,178.20814475534743,676.4162895106949,-36.41628951069487,Normal
2025-03-26 01:00:00,304,1,2,346.875,183.50435962123626,713.8837192424726,-20.133719242472523,Normal
2025-03-26 02:00:00,278,2,2,319.1333333333333,188.76586656742893,696.6650664681912,-58.39839980152453,Normal
2025-03-26 03:00:00,282,3,2,320.26666666666665,176.5670518797995,673.4007704262656,-32.867437092932335,Normal
2025-03-26 04:00:00,284,4,2,326.0625,174.94283590171202,675.948171803424,-23.82317180342403,Normal
2025-03-26 05:00:00,269,5,2,313.75,169.95509210768984,653.6601842153797,-26.160184215379672,Normal
2025-03-26 06:00:00,352,6,2,624.75,1146.6388271814276,2918.027654362855,-1668.5276543628552,Normal
2025-03-26 07:00:00,508,7,2,489.1875,260.31678617919874,1009.8210723583975,-31.446072358397487,Normal
2025-03-26 08:00:00,1177,8,2,1035.0588235294117,642.0546579719903,2319.1681394733923,-249.0504924145689,Normal
2025-03-26 09:00:00,2129,9,2,1561.9411764705883,1061.7756631339453,3685.492502738479,-561.6101497973023,Normal
2025-03-26 10:00:00,3317,10,2,2053.0,1337.43495168924,4727.86990337848,-621.8699033784801,Normal
2025-03-26 11:00:00,2815,11,2,2176.4117647058824,1387.9760921402576,4952.363948986398,-599.5404195746328,Normal
2025-03-26 12:00:00,2626,12,2,2155.0588235294117,1477.3000486778337,5109.658920885079,-799.5412738262557,Normal
2025-03-26 13:00:00,4082,13,2,2473.9411764705883,1665.2426050949841,5804.426386660556,-856.54403371938,Normal
2025-03-26 14:00:00,3723,14,2,2083.1176470588234,1403.138173985056,4889.393995028935,-723.1587009112886,Normal
2025-03-26 15:00:00,2703,15,2,1715.3529411764705,1072.2970636195264,3859.947068415523,-429.2411860625823,Normal
2025-03-26 16:00:00,3265,16,2,1638.7058823529412,1078.303515058833,3795.3129124706074,-517.9011477647248,Normal
2025-03-26 17:00:00,2047,17,2,1334.0588235294117,905.9939618030185,3146.0467471354486,-477.9291000766252,Normal
2025-03-26 18:00:00,1443,18,2,1013.0,705.741365515725,2424.48273103145,-398.48273103144993,Normal
2025-03-26 19:00:00,2023,19,2,923.8235294117648,630.7042923682735,2185.2321141483117,-337.5850553247823,Normal
2025-03-26 20:00:00,1086,20,2,577.75,350.160820195521,1278.071640391042,-122.57164039104202,Normal
2025-03-26 21:00:00,318,21,2,361.29411764705884,186.26753766621627,733.8291929794914,-11.2409576853737,Normal
2025-03-26 22:00:00,292,22,2,323.11764705882354,178.93220865489155,680.9820643686066,-34.74677025095957,Normal
2025-03-26 23:00:00,267,23,2,335.8,189.3561270652282,714.5122541304564,-42.912254130456404,Normal
2025-03-27 00:00:00,264,0,3,320.0,178.20814475534743,676.4162895106949,-36.41628951069487,Normal
2025-03-27 01:00:00,272,1,3,346.875,183.50435962123626,713.8837192424726,-20.133719242472523,Normal
2025-03-27 02:00:00,210,2,3,319.1333333333333,188.76586656742893,696.6650664681912,-58.39839980152453,Normal
2025-03-27 03:00:00,232,3,3,320.26666666666665,176.5670518797995,673.4007704262656,-32.867437092932335,Normal
2025-03-27 04:00:00,224,4,3,326.0625,174.94283590171202,675.948171803424,-23.82317180342403,Normal
2025-03-27 05:00:00,241,5,3,313.75,169.95509210768984,653.6601842153797,-26.160184215379672,Normal
2025-03-27 06:00:00,233,6,3,624.75,1146.6388271814276,2918.027654362855,-1668.5276543628552,Normal
2025-03-27 07:00:00,459,7,3,489.1875,260.31678617919874,1009.8210723583975,-31.446072358397487,Normal
2025-03-27 08:00:00,1019,8,3,1035.0588235294117,642.0546579719903,2319.1681394733923,-249.0504924145689,Normal
2025-03-27 09:00:00,1448,9,3,1561.9411764705883,1061.7756631339453,3685.492502738479,-561.6101497973023,Normal
2025-03-27 10:00:00,2527,10,3,2053.0,1337.43495168924,4727.86990337848,-621.8699033784801,Normal
2025-03-27 11:00:00,3281,11,3,2176.4117647058824,1387.9760921402576,4952.363948986398,-599.5404195746328,Normal
2025-03-27 12:00:00,2022,12,3,2155.0588235294117,1477.3000486778337,5109.658920885079,-799.5412738262557,Normal
2025-03-27 13:00:00,2780,13,3,2473.9411764705883,1665.2426050949841,5804.426386660556,-856.54403371938,Normal
2025-03-27 14:00:00,2048,14,3,2083.1176470588234,1403.138173985056,4889.393995028935,-723.1587009112886,Normal
2025-03-27 15:00:00,2303,15,3,1715.3529411764705,1072.2970636195264,3859.947068415523,-429.2411860625823,Normal
2025-03-27 16:00:00,2149,16,3,1638.7058823529412,1078.303515058833,3795.3129124706074,-517.9011477647248,Normal
2025-03-27 17:00:00,1882,17,3,1334.0588235294117,905.9939618030185,3146.0467471354486,-477.9291000766252,Normal
2025-03-27 18:00:00,1567,18,3,1013.0,705.741365515725,2424.48273103145,-398.48273103144993,Normal
2025-03-27 19:00:00,1417,19,3,923.8235294117648,630.7042923682735,2185.2321141483117,-337.5850553247823,Normal
2025-03-27 20:00:00,704,20,3,577.75,350.160820195521,1278.071640391042,-122.57164039104202,Normal
2025-03-27 21:00:00,597,21,3,361.29411764705884,186.26753766621627,733.8291929794914,-11.2409576853737,Normal
2025-03-27 22:00:00,538,22,3,323.11764705882354,178.93220865489155,680.9820643686066,-34.74677025095957,Normal
2025-03-27 23:00:00,554,23,3,335.8,189.3561270652282,714.5122541304564,-42.912254130456404,Normal
2025-03-28 00:00:00,498,0,4,320.0,178.20814475534743,676.4162895106949,-36.41628951069487,Normal
2025-03-28 01:00:00,534,1,4,346.875,183.50435962123626,713.8837192424726,-20.133719242472523,Normal
2025-03-28 02:00:00,505,2,4,319.1333333333333,188.76586656742893,696.6650664681912,-58.39839980152453,Normal
2025-03-28 03:00:00,508,3,4,320.26666666666665,176.5670518797995,673.4007704262656,-32.867437092932335,Normal
2025-03-28 04:00:00,507,4,4,326.0625,174.94283590171202,675.948171803424,-23.82317180342403,Normal
2025-03-28 05:00:00,511,5,4,313.75,169.95509210768984,653.6601842153797,-26.160184215379672,Normal
2025-03-28 06:00:00,534,6,4,624.75,1146.6388271814276,2918.027654362855,-1668.5276543628552,Normal
2025-03-28 07:00:00,693,7,4,489.1875,260.31678617919874,1009.8210723583975,-31.446072358397487,Normal
2025-03-28 08:00:00,1474,8,4,1035.0588235294117,642.0546579719903,2319.1681394733923,-249.0504924145689,Normal
2025-03-28 09:00:00,2183,9,4,1561.9411764705883,1061.7756631339453,3685.492502738479,-561.6101497973023,Normal
2025-03-28 10:00:00,2499,10,4,2053.0,1337.43495168924,4727.86990337848,-621.8699033784801,Normal
2025-03-28 11:00:00,2397,11,4,2176.4117647058824,1387.9760921402576,4952.363948986398,-599.5404195746328,Normal
2025-03-28 12:00:00,2065,12,4,2155.0588235294117,1477.3000486778337,5109.658920885079,-799.5412738262557,Normal
