Timestamp,Observed,Predicted,Deviation,Anomaly
2025-04-04 09:00:00,705.0,195.52919574820118,509.4708042517988,1
2025-04-04 10:00:00,729.0,184.5903520503146,544.4096479496854,1
2025-04-04 11:00:00,774.0,205.2030050230272,568.7969949769728,1
2025-04-04 12:00:00,772.0,200.3238156231175,571.6761843768825,1
2025-04-04 13:00:00,792.0,219.16212674255436,572.8378732574456,1
2025-04-04 14:00:00,735.0,198.87300130991866,536.1269986900813,1
2025-04-04 15:00:00,636.0,155.91288503400924,480.08711496599074,0
2025-04-04 16:00:00,634.0,161.04678962478405,472.9532103752159,0
2025-04-04 17:00:00,593.0,151.1873847059161,441.8126152940839,0
2025-04-04 18:00:00,607.0,119.23588452152151,487.7641154784785,1
2025-04-04 19:00:00,576.0,112.80574710814797,463.19425289185205,0
